chrM	16571	1111652	0
chr1	249250621	1216226	0
chr2	243199373	925530	0
chr3	198022430	647878	0
chr4	191154276	496250	0
chr5	180915260	700216	0
chr6	171115067	586558	0
chr7	159138663	639854	0
chr8	146364022	475860	0
chr9	141213431	478360	0
chr10	135534747	410372	0
chr11	135006516	659860	0
chr12	133851895	752574	0
chr13	115169878	221174	0
chr14	107349540	450942	0
chr15	102531392	414134	0
chr16	90354753	495630	0
chr17	81195210	668942	0
chr18	78077248	172946	0
chr19	59128983	657788	0
chr20	63025520	341858	0
chr21	48129895	142606	0
chr22	51304566	305906	0
chrX	155270560	439908	0
chrY	59373566	20408	0
*	0	0	0
