chrM	16571	10512378	0
chr1	249250621	5106058	0
chr2	243199373	2994820	0
chr3	198022430	2234546	0
chr4	191154276	1464148	0
chr5	180915260	2137388	0
chr6	171115067	1958530	0
chr7	159138663	2423372	0
chr8	146364022	1776230	0
chr9	141213431	2100354	0
chr10	135534747	1577506	0
chr11	135006516	2966890	0
chr12	133851895	2945050	0
chr13	115169878	600234	0
chr14	107349540	1670128	0
chr15	102531392	1516970	0
chr16	90354753	2534236	0
chr17	81195210	3203782	0
chr18	78077248	865280	0
chr19	59128983	3759900	0
chr20	63025520	1621090	0
chr21	48129895	473644	0
chr22	51304566	1501374	0
chrX	155270560	1665498	0
chrY	59373566	70098	0
*	0	0	0
