chrM	16571	1265430	0
chr1	249250621	10081856	0
chr2	243199373	7158928	0
chr3	198022430	4989420	0
chr4	191154276	3684676	0
chr5	180915260	5401082	0
chr6	171115067	5771054	0
chr7	159138663	5405426	0
chr8	146364022	3340992	0
chr9	141213431	4025494	0
chr10	135534747	3336474	0
chr11	135006516	5162592	0
chr12	133851895	5711348	0
chr13	115169878	1836150	0
chr14	107349540	3323952	0
chr15	102531392	3218844	0
chr16	90354753	4335444	0
chr17	81195210	5727352	0
chr18	78077248	1383496	0
chr19	59128983	5816778	0
chr20	63025520	2355154	0
chr21	48129895	1008066	0
chr22	51304566	2547170	0
chrX	155270560	3412374	0
chrY	59373566	137400	0
*	0	0	0
