chrM	16571	27428032	0
chr1	249250621	2804844	0
chr2	243199373	1155956	0
chr3	198022430	935118	0
chr4	191154276	679042	0
chr5	180915260	794000	0
chr6	171115067	805594	0
chr7	159138663	871312	0
chr8	146364022	647474	0
chr9	141213431	727114	0
chr10	135534747	657876	0
chr11	135006516	1161370	0
chr12	133851895	1094356	0
chr13	115169878	299400	0
chr14	107349540	649088	0
chr15	102531392	545734	0
chr16	90354753	773082	0
chr17	81195210	1092292	0
chr18	78077248	398238	0
chr19	59128983	1104400	0
chr20	63025520	513616	0
chr21	48129895	190080	0
chr22	51304566	444686	0
chrX	155270560	578708	0
chrY	59373566	16366	0
*	0	0	0
