chrM	16571	1921108	0
chr1	249250621	13752798	0
chr2	243199373	10171160	0
chr3	198022430	7090250	0
chr4	191154276	5333306	0
chr5	180915260	7726704	0
chr6	171115067	8497698	0
chr7	159138663	7552422	0
chr8	146364022	5017062	0
chr9	141213431	5575524	0
chr10	135534747	4764414	0
chr11	135006516	7227298	0
chr12	133851895	8280198	0
chr13	115169878	2518698	0
chr14	107349540	4606768	0
chr15	102531392	4610622	0
chr16	90354753	6024366	0
chr17	81195210	7784838	0
chr18	78077248	1990326	0
chr19	59128983	7643880	0
chr20	63025520	3446972	0
chr21	48129895	1463732	0
chr22	51304566	3644876	0
chrX	155270560	5009004	0
chrY	59373566	220982	0
*	0	0	0
