chrM	16571	14582376	0
chr1	249250621	6767464	0
chr2	243199373	4427994	0
chr3	198022430	3274746	0
chr4	191154276	2420422	0
chr5	180915260	3137618	0
chr6	171115067	2811440	0
chr7	159138663	3175640	0
chr8	146364022	2515734	0
chr9	141213431	2638864	0
chr10	135534747	2270866	0
chr11	135006516	3849778	0
chr12	133851895	3880128	0
chr13	115169878	1013356	0
chr14	107349540	2285152	0
chr15	102531392	2109954	0
chr16	90354753	2878730	0
chr17	81195210	3849586	0
chr18	78077248	1285638	0
chr19	59128983	3891846	0
chr20	63025520	2083216	0
chr21	48129895	637896	0
chr22	51304566	1637910	0
chrX	155270560	2387994	0
chrY	59373566	88162	0
*	0	0	0
