chrM	16571	1693226	0
chr1	249250621	11207010	0
chr2	243199373	8088492	0
chr3	198022430	5589564	0
chr4	191154276	4066424	0
chr5	180915260	6138006	0
chr6	171115067	6804792	0
chr7	159138663	6180516	0
chr8	146364022	4139910	0
chr9	141213431	4564724	0
chr10	135534747	3752958	0
chr11	135006516	5911032	0
chr12	133851895	6641294	0
chr13	115169878	1925506	0
chr14	107349540	3620418	0
chr15	102531392	3767630	0
chr16	90354753	4967754	0
chr17	81195210	6465318	0
chr18	78077248	1545276	0
chr19	59128983	6901852	0
chr20	63025520	2754648	0
chr21	48129895	1190570	0
chr22	51304566	3036640	0
chrX	155270560	3919968	0
chrY	59373566	160552	0
*	0	0	0
