chrM	16571	10063080	0
chr1	249250621	7143912	0
chr2	243199373	4521918	0
chr3	198022430	3279784	0
chr4	191154276	2135016	0
chr5	180915260	3251388	0
chr6	171115067	2854416	0
chr7	159138663	3500436	0
chr8	146364022	2604198	0
chr9	141213431	3122960	0
chr10	135534747	2270514	0
chr11	135006516	4320590	0
chr12	133851895	4345136	0
chr13	115169878	905320	0
chr14	107349540	2531428	0
chr15	102531392	2294382	0
chr16	90354753	3791052	0
chr17	81195210	4673532	0
chr18	78077248	947716	0
chr19	59128983	5540896	0
chr20	63025520	2437294	0
chr21	48129895	725926	0
chr22	51304566	2316448	0
chrX	155270560	2447886	0
chrY	59373566	98256	0
*	0	0	0
